"id","tweet","label","TR","AG"
201,"Hurray, saving us $$$ in so many ways @potus @realDonaldTrump #LockThemUp #BuildTheWall #EndDACA #BoycottNFL #BoycottNike",1,0,0
202,"Why would young fighting age men be the vast majority of the ones escaping a war &amp; not those who cannot fight like women, children, and the elderly?It's because the majority of the refugees are not actually refugees they are economic migrants trying to get into Europe.... https://t.co/Ks0SHbtYqn",1,0,0
203,"@KamalaHarris Illegals Dump their Kids at the border like Road Kill and Refuse to Unite! They Hope they get Amnesty, Free Education and Welfare Illegal #FamilesBelongTogether in their Country not on the Taxpayer Dime Its a SCAM #NoDACA #NoAmnesty #SendThe",1,0,0
204,"NY Times: 'Nearly All White' States Pose 'an Array of Problems' for Immigrants https://t.co/ACZKLhdMV9 https://t.co/CJAlSXCzR6",0,0,0
205,"Orban in Brussels: European leaders are ignoring the will of the people, they do not want migrants https://t.co/NeYFyqvYlX",0,0,0
206,"@KurtSchlichter LEGAL is. Not illegal. #BuildThatWall",1,0,0
207,"@RitaPanahi @826Maureen @RealCandaceO Antifa are just a pack of druggie misfits that no one loves, being the violent thugs they are is their cry for attention and their hit of self importance.#JuvenileDelinquents",0,0,0
208,"Ex-Teacher Pleads Not guilty To Rape Charges https://t.co/D2mGu3VT5G",0,0,0
209,"still places on our Bengali (Sylheti) class! it's London's 2nd language! know anyone interested @SBSisters @refugeecouncil @DocsNotCops https://t.co/sOx6shjvMx",0,0,0
210,"DFID Africa Regional Profile: July 2018 https://t.co/npfZCriW0w",0,0,0
211,"Watch: Benjamin Netanyahu backs Trump's decision to cut aid to the Palestinians and UNRWA - Free Speech Time - https://t.co/SB843Zf0IF @ISupport_Israel",0,0,0
212,"@RealDonaldTrump @HouseGOP Illegals are dumping their kids heres o they can get  welfare, aid and U.S School  Ripping off U.S Taxpayers  #SendThemBack !  Stop Alowing illegals to Abuse the Taxpayer #Immigration https://t.co/rItfeGcB5R via @BreitbartNews",1,0,1
213,"While Costa Rica has received the most asylum claims, Panama, Mexico and the USA have also recorded a growing trend of claims by Nicaraguans in need of international refugee protection. https://t.co/pp7LgFikT1",0,0,0
214,"US immigrant policy to enter US has always been - education or skill &amp; sponsor to take responsibility 4 them. In last 30 yrs, US has taken in so many with no education or means to support themselves - many never learn English. With Catch &amp; Release too many go on welfare-",0,0,0
215,"Italy’s populist coalition poised to defy EU with plans to deport 500,000 migrants https://t.co/dNxnranpM6",0,0,0
216,"Lithuania, Romania aided CIA torture, top European Union court rules https://t.co/Xe5EDJp3jt            EU court is a joke ! Why are they silent as Europe is being destroyed with FORCED islamist immigration...",1,0,1
217,"Worldbank reports that in the next 30 years many refugees have to leave her homeland, specially in Africa. Who will feed them ? Is Europe able to shoot them down and protect her own homeland, before it will destroyed from Africans ? https://t.co/gVBh2r9bes",1,0,1
218,"Rich African Countries don't take in African MigrantsRich muslim countries don't take in muslim migrantsRich latin american countries don't take it latin migrantsBut white countries are suppose to accept them??",1,0,0
219,"New research uncovers successes and failures of UK’s help for Syrian immigrants https://t.co/XCgX2mLVN9",0,0,0
220,"Immigration why us 2 Million EU Migrants allowed and their families also more money leaving the EU no thats to pay for their passage to get to the Uk...",0,0,0
221,"@NBCNews @MSNBC @jacobsoboroff @DatelineNBC Close the tunnels with gunpowder !",0,0,0
222,"Hitler left a stain on Germany for the atrocities he committed against the Jews.  Trump will leave a stain on America for the atrocities he's commiting against these immigrant families.  I only hope there is a reenactment of the Nuremberg Trials at the end of his reign. #Inhumane https://t.co/oZoPGNiFaE",0,0,0
223,"Over the past two weeks, 1,172 refugees arrived in the US. 8,044 have arrived in FY18, but we are nearly 10,000 behind schedule. We will continue to stand for the vulnerable! #refugeeswelcome https://t.co/rYCWCz3iBt",0,0,0
224,"Church leaders determine to ease #economic problems at the heart of #humantrafficking plaguing #Indonesia https://t.co/DT60zpnlVd @ucanindonesia @UNmigration @ryandagur",0,0,0
225,"And why should he now buckle to their demands that he swear undying trust for these A******* ?????  THEY are the enemy of this nation! #Treason https://t.co/YBuCPtPp7e",0,0,0
226,"@WattersWorld @JesseBWatters @BillSpadea How about discussing this? #JoeBiden's ""black box"" of American success. #WhiteGenocide #ImmigrationInvasion #JesseWatters #WatersWorldhttps://t.co/k8bWjj7tnp",1,0,1
227,"It is a cruel irony that sikhs often **look** more exotic to American eyes, even though they tend to be among the most deeply assimilated of immigrant groups. of course the people they're mistaken for also don't deserve to be attacked. https://t.co/57NitaFqce",0,0,0
228,"EU’s hailed migrant plan ‘˜a road to Hell’ Czech Republic refuses involvement https://t.co/sIBKJA9Dfc",1,0,1
229,"Could you open up your home to refugees in need? https://t.co/0F2rzmYCSw",0,0,0
230,"MS-13 spreads to 22 states, fed by 300,000 illegals, DACA recipients, tied to 207 murders@GOPLeader @HouseGOP@SpeakerRyan#NoDACA #NoAmnesty#DeportThemAll#BuildTheWallAmnesty creates more Illegal Migration, always has, always will.",1,0,1
231,"Activists chained to Italian transport ministry to protest immigration policy https://t.co/dLCCKcCgud",0,0,0
232,"Spain: migrants riot to protest against the slow WIFI, the uncomfortable bed and the disgusting food In the shelter - Free Speech Time - https://t.co/APCZjuflhw @ISupport_Israel",0,0,0
233,"Please listen to a Syrian refugee now in Germany.  He asks that people around the world demand that the annihilation of women and children, deliberate attacks on hospitals and medial people and the mass bombings be tried as the crimes they truly are. https://t.co/wkgRDvxRlN",0,0,0
234,"The real truth is after Cologne and in the Nordic countries and Others no one trusts any refugees a better life for them doesn't mean 1. 4 u",1,0,0
235,"Federal judge to #Trump: ""imminent danger"" of ""irreparable injury to #refugees, visa-holders"", etc. @realDonaldTrump https://t.co/W9lEjzbtBF",0,0,0
236,"Watch: French Mayor Declares ""Muslim migrants are not welcome here"" - Free Speech Time - https://t.co/B59JBkSyXH @ISupport_Israel",1,0,1
237,"Border Ranchers Shock MSNBC With Facts On Illegal Immigration https://t.co/v3YTvUAabS via @dailycaller",0,0,0
238,"Texas has 'moral responsibility' to protect detained immigrant kids, Hispanic lawmakers say  Yes, and so do other 49 other jurisdictions in as many States of the Union - each having state laws against child abuse. https://t.co/ZUsLPZNwPM",0,0,0
239,"two children washed up on a barb wired beach another scum photographer another attempt to get the EU to take more migrants enough propaganda",1,0,0
240,"Illegal alien charged with murder of homeless woman in New York City: https://t.co/j9vjkuiI6K  #StopTheInvasion",0,0,0
241,"Watch: Muslim migrants terrorizing Swedish people, including the elderly people who stand on their way - Free Speech Time - https://t.co/2PP3R7fJdz @ISupport_Israel",1,0,0
242,"EU is more worried about 'populism' than about tens of thousands of migrants reaching Spain https://t.co/ZGWGh76AvE",0,0,0
243,"(Islam in Europe) Documentary how Arab and African Immigrants Destroying... https://t.co/azrLoJbLbh via @YouTube",1,0,1
244,"While @realDonaldTrump attacks our state’s immigrants, @BruceRauner has dragged his feet on signing critical legislation to protect our immigrant community, including:  ☑️ SB 34 ☑️ SB 35 ☑️ SB 3103 ☑️ SB 3109 ☑️ SB 3488  #ilgov #twill https://t.co/AyWuAZwNEf",0,0,0
245,"Rescued migrants arrive in Pozzallo as Italy grants approval to dock https://t.co/rqcLQ9uyhk",0,0,0
246,"@AmyMek Passenger from Harlingen to Dallas,TX has infected many to measles!!! Stop the invasion. #BuildThatWall #KAG",1,0,1
247,"This is what the streets of the #uk will look like in 10 more years #Brexitnow #stopimmigration",1,0,0
248,"A legal immigrant leaves the US because her visa has not been renewed yet, and tons of people give her shit because of her stance against illegal immigration. Cuz Logic!!! @Barbara4u2 Stay awesome, stay positive, we all love you. https://t.co/G2rTs0O3hw",0,0,0
249,"Italian bishop warns that Europe must avoid “fear and xenophobia” and welcome Muslim migrants https://t.co/e5iawmYeAz via @jihadwatchRS Another Christion moron with a death wish. https://t.co/4OwEEIRJbq",0,0,0
250,"@RealJamesWoods And this is what we have to look forward to. We made the Arab world RICH while a few here got paid! Now we have this! #BuildThatWall",1,0,0
251,"The establishment of Europe has a court of humanrights. This court allows crimerefugees to stay forever in Europe. They will not send back in her homeland. So this court has a responsibility for a mulricriminal society in future, one says. https://t.co/Q2R5OKABGj",0,0,0
